wavelength	spectrum
694	0.168930247
695	0.169304475
696	0.169159278
697	0.169730023
698	0.170191094
699	0.170455873
700	0.170406163
701	0.170783803
702	0.171294555
703	0.171543419
704	0.172026157
705	0.172288835
706	0.172128886
707	0.172565147
708	0.173144773
709	0.173683286
710	0.173281834
711	0.173448101
712	0.173922434
713	0.17458877
714	0.174821153
715	0.174982473
716	0.175142407
717	0.175283134
718	0.175490782
719	0.175831273
720	0.176574111
721	0.176807284
722	0.176889315
723	0.176988438
724	0.177341759
725	0.177720755
726	0.178095967
727	0.178405508
728	0.17851764
729	0.178609028
730	0.178981826
731	0.179342777
732	0.179658055
733	0.179905072
734	0.180149436
735	0.180467233
736	0.180812985
737	0.180906937
738	0.181394041
739	0.181823969
740	0.181649789
741	0.181931198
742	0.182255432
743	0.182531416
744	0.182881922
745	0.183101118
746	0.183288589
747	0.183765277
748	0.184132323
749	0.184441224
750	0.184703872
751	0.185058832
752	0.185203671
753	0.185143486
754	0.185620338
755	0.185903385
756	0.186139733
757	0.186597258
758	0.186750636
759	0.186956957
760	0.187392041
761	0.187739789
762	0.187856406
763	0.187796474
764	0.187938958
765	0.188324079
766	0.188732728
767	0.188895136
768	0.189078376
769	0.189347774
770	0.189731061
771	0.190150455
772	0.190272763
773	0.190297186
774	0.190947428
775	0.191041797
776	0.191045344
777	0.191308677
778	0.191392019
779	0.191610128
780	0.192006856
781	0.19239752
782	0.192687452
783	0.192930505
784	0.193220273
785	0.193308279
786	0.193374395
787	0.193503872
788	0.193955198
789	0.194240078
790	0.194333494
791	0.194273248
792	0.194444984
793	0.194822341
794	0.195486575
795	0.195502877
796	0.195445687
797	0.195475817
798	0.195662364
799	0.195972413
800	0.196308881
801	0.196262389
802	0.196562156
803	0.196827888
804	0.196692497
805	0.196804449
806	0.197006062
807	0.197281271
808	0.197731271
809	0.197751269
810	0.197607249
811	0.19790715
812	0.198137209
813	0.198313087
814	0.198425964
815	0.198901534
816	0.198880702
817	0.198451579
818	0.19907923
819	0.199076012
820	0.198981091
821	0.199601173
